,link,titulo,citacoes,ano,tipo_arquivo,versao,busca,y,p
160,https://dl.acm.org/doi/fullHtml/10.1145/319382.319388,Machine learning and data mining,['493'],['1999'],[HTML],['28'],machine+learning,,0.833
161,http://folk.uio.no/plison/pdfs/talks/machinelearning.pdf,An introduction to machine learning,['394'],['2015'],[PDF],['3'],machine+learning,,0.796
162,https://arxiv.org/abs/1603.04467,Tensorflow: Large-scale machine learning on heterogeneous distributed systems,['4912'],['2016'],[PDF],['6'],machine+learning,,0.86
163,https://www.sciencedirect.com/science/article/pii/016727898690240X,"The immune system, adaptation, and machine learning",['1966'],['1986'],[PDF],['11'],machine+learning,,0.552
164,https://books.google.com.br/books?hl=pt-BR&lr=&id=cnyjBQAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=5caFMy8Q0t&sig=OTVInp-KGnlASpLHCj3NT2f3jBg,Machine learning: a theoretical approach,['456'],['2014'],[LIVRO],['6'],machine+learning,,0.918
165,https://www.sciencedirect.com/science/article/pii/S1361841512000333,Machine learning and radiology,['365'],['2012'],[LIVRO],['10'],machine+learning,,0.949
166,https://www.sciencedirect.com/science/article/pii/S1053811908012263,Machine learning classifiers and fMRI: a tutorial overview,['1397'],['2009'],[LIVRO],['22'],machine+learning,,0.91
167,https://arxiv.org/abs/1204.6078,Distributed graphlab: A framework for machine learning in the cloud,['1835'],['2012'],[LIVRO],['33'],machine+learning,,0.862
168,https://researchcommons.waikato.ac.nz/handle/10289/1512,Practical feature subset selection for machine learning,['486'],['1998'],[LIVRO],['2'],machine+learning,,0.744
169,https://www.sciencedirect.com/science/article/pii/S0097848501000948,Drug design by machine learning: support vector machines for pharmaceutical data analysis,['733'],['2001'],[LIVRO],['12'],machine+learning,,0.846
170,https://academic.oup.com/bib/article-abstract/7/1/86/264025,Machine learning in bioinformatics,['644'],['2006'],[LIVRO],['9'],machine+learning,,0.876
171,http://www.nowpublishers.com/article/Details/MAL-044,Determinantal point processes for machine learning,['516'],['2012'],[LIVRO],['12'],machine+learning,,0.973
