,link,titulo,citacoes,ano,tipo_arquivo,versao,busca,y
0,https://www.academia.edu/download/55091016/algoritmos-geneticos-libro-bueno.pdf,Introducción a los algoritmos genéticos y la programación genética,['75'],['2010'],[LIVRO],['3'],algoritmos+geneticos,
1,https://www.researchgate.net/profile/Pablo_Estevez/publication/228708779_Optimizacion_Mediante_Algoritmos_Geneticos/links/0912f51111f82b2a61000000.pdf,Optimización mediante algoritmos genéticos,['51'],['1997'],[PDF],['2'],algoritmos+geneticos,
2,http://it.uc3m.es/jvillena/irc/practicas/06-07/05.pdf,Algoritmos genéticos,['18'],"['2007', '3']",[PDF],['5'],algoritmos+geneticos,
3,http://cursos.itam.mx/akuri/PUBLICA.CNS/2000/AGS.PDF,Algoritmos genéticos,['26'],['2002'],[LIVRO],['2'],algoritmos+geneticos,
4,https://the-geek.org/docs/algen/algen.html,Algoritmos genéticos y computación evolutiva,['29'],['2004'],[HTML],['2'],algoritmos+geneticos,
5,http://periodicosibepes.org.br/index.php/reinfo/article/view/133,Algoritmos genéticos aplicados a la categorización automática de documentos,['27'],['2003'],[HTML],['9'],algoritmos+geneticos,
6,https://books.google.com.br/books?hl=pt-BR&lr=&id=it0kv6UsEMEC&oi=fnd&pg=PA3&dq=algoritmos+geneticos&ots=Cm3ih8PvV0&sig=OqINz5q4seGbx1uHCqJsPd7BBJI,Algoritmos genéticos (2a ediçao),['287'],['2008'],[LIVRO],['9'],algoritmos+geneticos,1
7,http://www.biblioteca.uma.es/bbldoc/tesisuma/17161794.pdf,Análisis y diseño de algoritmos genéticos paralelos distribuidos,['26'],['1999'],[PDF],['8'],algoritmos+geneticos,0
8,https://www.colibri.udelar.edu.uy/jspui/handle/20.500.12008/2932,Algoritmos genéticos paralelos y su aplicación al diseño de redes de comunicaciones confiables,['18'],['2004'],[PDF],['5'],algoritmos+geneticos,0
9,https://www.researchgate.net/profile/Marcos_Gestal/publication/237812449_Introduccion_a_los_Algoritmos_Geneticos/links/02e7e520a93bdade8f000000.pdf,Introducción a los algoritmos genéticos,['19'],['2000'],[PDF],['11'],algoritmos+geneticos,0
10,https://www.redalyc.org/pdf/816/81690104.pdf,Sistemas recomendadores: Un enfoque desde los algoritmos genéticos,['22'],['2006'],[PDF],['2'],algoritmos+geneticos,0
11,http://www.academia.edu/download/32518482/ag.pdf,Introdução aos algoritmos genéticos,['156'],['1999'],[PDF],['5'],algoritmos+geneticos,1
12,http://www.inf.ufsc.br/~mauro.roisenberg/ine5377/Cursos-ICA/MQ-intro_apost.pdf,Algoritmos genéticos: princípios e aplicações,['129'],['1999'],[PDF],['2'],algoritmos+geneticos,0
13,https://www.researchgate.net/profile/Jose_Diego-Mas/publication/311939744_Optimizacion_de_la_distribucion_en_planta_de_instalaciones_industriales_mediante_algoritmos_geneticos_aportacion_al_control_de_la_geometria_de_las_actividades/links/5863b8dd08aebf17d3973b5e/Optimizacion-de-la-distribucion-en-planta-de-instalaciones-industriales-mediante-algoritmos-geneticos-aportacion-al-control-de-la-geometria-de-las-actividades.pdf,Optimización de la distribución en planta de instalaciones industriales mediante algoritmos genéticos. Aportación al control de la geometría de las actividades,['43'],['2006'],[PDF],['2'],algoritmos+geneticos,0
14,https://scielo.conicyt.cl/scielo.php?pid=s0717-68212006000200002&script=sci_arttext,Modelos de algoritmos genéticos y redes neuronales en la predicción de índices bursátiles asiáticos,['26'],['2006'],[HTML],['16'],algoritmos+geneticos,0
15,http://revistas.unipamplona.edu.co/ojs_viceinves/index.php/RCTA/article/view/297,Optimización del THD en un convertidor multinivel monofásico usando algoritmos genéticos,['21'],['2013'],[HTML],['3'],algoritmos+geneticos,1
16,https://dialnet.unirioja.es/servlet/tesis?codigo=9581,Estudio de la coordinación inteligente en robots bípedos: aplicación de lógica borrosa y algoritmos genéticos,['20'],['1994'],[HTML],['3'],algoritmos+geneticos,0
17,https://riunet.upv.es/handle/10251/15409,Optimización estructural y topológica de estructuras morfológicamente no definidas mediante algoritmos genéticos,['15'],['2012'],[HTML],['6'],algoritmos+geneticos,0
18,http://inf.udec.cl/~revista/ediciones/edicion9/egruttner.pdf,Recorridos Optimos de Le neas de Transporte Peublico Usando Algoritmos Geneticos,['18'],['2002'],[PDF],['2'],algoritmos+geneticos,0
19,http://hrudnick.sitios.ing.uc.cl/paperspdf/Gil.pdf,Programación de la generación de corto plazo en sistemas hidrotérmicos usando algoritmos genéticos,['17'],['2001'],[PDF],['2'],algoritmos+geneticos,0
20,http://www.ufrgs.br/niee/eventos/RIBIE/1998/pdf/com_pos_dem/151.pdf,Jogos Educativos computadorizados utilizando a abordagem de algoritmos genéticos,['99'],['1998'],[PDF],['3'],algoritmos+geneticos,0
21,http://delta.cs.cinvestav.mx/~ccoello/EMOO/thesis-bernal.pdf.gz,Aplicación de algoritmos genéticos al diseño óptimo de sistemas de distribución de energía eléctrica,['18'],['1998'],[PDF],['2'],algoritmos+geneticos,0
22,https://scielo.conicyt.cl/scielo.php?pid=S0718-07642009000400016&script=sci_arttext,Optimización de redes eléctricas mediante la aplicación de algoritmos genéticos,['16'],['2009'],[HTML],['8'],algoritmos+geneticos,0
23,https://dialnet.unirioja.es/servlet/articulo?codigo=4134107,Algoritmos Genéticos: una estrategia para la búsqueda y la optimización,['13'],['1992'],[HTML],['8'],algoritmos+geneticos,0
24,http://laboratorios.fi.uba.ar/lsi/R-ITBA-26-rrnn-ags.pdf,Generación automática de redes neuronales con ajuste de parámetros basado en algoritmos genéticos,['19'],['2002'],[PDF],['5'],algoritmos+geneticos,0
